[I 2025-04-18 23:52:34,769] Trial 24 finished with value: 12.498627832169042 and parameters: {'max_bin': 826, 'max_depth': 15, 'learning_rate': 0.008417452334953817, 'subsample': 0.8017971369921963, 'colsample_bytree': 0.8022701143634854, 'gamma': 0.2014294706970182, 'min_child_weight': 5, 'reg_alpha': 0.017019784741073993, 'reg_lambda': 0.9776960306607694}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-18 23:57:39,066] Trial 25 finished with value: 12.522276136061837 and parameters: {'max_bin': 832, 'max_depth': 14, 'learning_rate': 0.008574981531146494, 'subsample': 0.8019016970103507, 'colsample_bytree': 0.8016586116415809, 'gamma': 0.3094889859154848, 'min_child_weight': 6, 'reg_alpha': 0.014892608413209999, 'reg_lambda': 0.11123688399388634}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-18 23:58:17,369] Trial 26 finished with value: 12.956561226959053 and parameters: {'max_bin': 651, 'max_depth': 5, 'learning_rate': 0.011389122011909964, 'subsample': 0.7006843597894554, 'colsample_bytree': 0.7341242734630016, 'gamma': 0.001158971037232684, 'min_child_weight': 5, 'reg_alpha': 0.015247671630146124, 'reg_lambda': 0.4319613625257393}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:02:46,070] Trial 27 finished with value: 12.556270308128488 and parameters: {'max_bin': 858, 'max_depth': 13, 'learning_rate': 0.0065964210566825, 'subsample': 0.8105098964371776, 'colsample_bytree': 0.8406075566235047, 'gamma': 0.11034900216001904, 'min_child_weight': 3, 'reg_alpha': 0.02949266415836405, 'reg_lambda': 0.6308880468944825}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:03:56,234] Trial 28 finished with value: 12.612176915660193 and parameters: {'max_bin': 650, 'max_depth': 15, 'learning_rate': 0.049783406188583075, 'subsample': 0.885099124125683, 'colsample_bytree': 0.8050041968483767, 'gamma': 0.06265131241474692, 'min_child_weight': 5, 'reg_alpha': 0.1362502594468228, 'reg_lambda': 0.7595728671015336}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:07:29,746] Trial 29 finished with value: 12.530903911771542 and parameters: {'max_bin': 1061, 'max_depth': 14, 'learning_rate': 0.01717277245759823, 'subsample': 0.7850741044046797, 'colsample_bytree': 0.95327506143357, 'gamma': 0.20658708814880136, 'min_child_weight': 7, 'reg_alpha': 0.047865724906966556, 'reg_lambda': 0.274843351984797}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:11:08,888] Trial 30 finished with value: 12.538081568129934 and parameters: {'max_bin': 1207, 'max_depth': 13, 'learning_rate': 0.01205527113262904, 'subsample': 0.8399359680074062, 'colsample_bytree': 0.918832186693963, 'gamma': 0.3492147126879531, 'min_child_weight': 6, 'reg_alpha': 0.07541741464468217, 'reg_lambda': 0.4391510065154218}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:19:54,886] Trial 31 finished with value: 12.511715312775074 and parameters: {'max_bin': 573, 'max_depth': 15, 'learning_rate': 0.0051433012244037095, 'subsample': 0.8279099898662449, 'colsample_bytree': 0.8786981710589837, 'gamma': 0.20333825568077504, 'min_child_weight': 4, 'reg_alpha': 0.017743568108308665, 'reg_lambda': 0.9475944498557332}. Best is trial 24 with value: 12.498627832169042.
[I 2025-04-19 00:27:07,439] Trial 32 finished with value: 12.497877109782726 and parameters: {'max_bin': 662, 'max_depth': 15, 'learning_rate': 0.009031931867230081, 'subsample': 0.8218642712957543, 'colsample_bytree': 0.882200091829056, 'gamma': 0.2890394237819718, 'min_child_weight': 4, 'reg_alpha': 0.01705551845816065, 'reg_lambda': 0.7706381612716092}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:33:08,011] Trial 33 finished with value: 12.50234467861868 and parameters: {'max_bin': 801, 'max_depth': 14, 'learning_rate': 0.009679700856284418, 'subsample': 0.8598929046031539, 'colsample_bytree': 0.8825315389830125, 'gamma': 0.2995682275872802, 'min_child_weight': 3, 'reg_alpha': 0.01293978705816995, 'reg_lambda': 0.7586486107686745}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:38:26,882] Trial 34 finished with value: 12.51799519017252 and parameters: {'max_bin': 804, 'max_depth': 14, 'learning_rate': 0.009321254058998675, 'subsample': 0.8598854926248796, 'colsample_bytree': 0.9278909613207156, 'gamma': 0.2783017616102293, 'min_child_weight': 5, 'reg_alpha': 0.010697531300687624, 'reg_lambda': 0.26480714759118845}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:40:37,678] Trial 35 finished with value: 12.6265743037973 and parameters: {'max_bin': 990, 'max_depth': 11, 'learning_rate': 0.013470792748032052, 'subsample': 0.8996590782069442, 'colsample_bytree': 0.8471838871626449, 'gamma': 0.29894334837133024, 'min_child_weight': 4, 'reg_alpha': 0.013227244647466458, 'reg_lambda': 0.1235604692638143}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:45:14,089] Trial 36 finished with value: 12.56495509172944 and parameters: {'max_bin': 699, 'max_depth': 13, 'learning_rate': 0.008466816016676681, 'subsample': 0.8772711871902735, 'colsample_bytree': 0.9751494988784, 'gamma': 0.34299007626946565, 'min_child_weight': 3, 'reg_alpha': 0.019003876597094183, 'reg_lambda': 0.07484401183492083}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:50:12,827] Trial 37 finished with value: 12.518643639662455 and parameters: {'max_bin': 862, 'max_depth': 14, 'learning_rate': 0.010461065544055272, 'subsample': 0.9380956847007657, 'colsample_bytree': 0.8221480389865063, 'gamma': 0.3752575540928311, 'min_child_weight': 5, 'reg_alpha': 0.01296572499877207, 'reg_lambda': 0.7173545807037721}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:52:01,058] Trial 38 finished with value: 12.61931487087086 and parameters: {'max_bin': 1156, 'max_depth': 11, 'learning_rate': 0.02118189937481607, 'subsample': 0.7639702464117636, 'colsample_bytree': 0.7995636968240117, 'gamma': 0.26548548029992713, 'min_child_weight': 7, 'reg_alpha': 0.04184673239233765, 'reg_lambda': 0.4393876607153725}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 00:56:13,487] Trial 39 finished with value: 12.544226786096784 and parameters: {'max_bin': 1412, 'max_depth': 13, 'learning_rate': 0.008002878362163159, 'subsample': 0.7880969915777162, 'colsample_bytree': 0.8806963236245205, 'gamma': 0.03880226314275664, 'min_child_weight': 4, 'reg_alpha': 0.0172614293779342, 'reg_lambda': 0.03374826489608502}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:00:57,731] Trial 40 finished with value: 12.505162196324282 and parameters: {'max_bin': 1012, 'max_depth': 15, 'learning_rate': 0.015300443561267488, 'subsample': 0.8180155157322726, 'colsample_bytree': 0.8520078441111846, 'gamma': 0.12934135147673187, 'min_child_weight': 6, 'reg_alpha': 0.029196393298997224, 'reg_lambda': 0.2577101593589554}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:05:36,542] Trial 41 finished with value: 12.509401523455876 and parameters: {'max_bin': 1004, 'max_depth': 15, 'learning_rate': 0.01439466641342967, 'subsample': 0.8128086110046279, 'colsample_bytree': 0.8500725963975024, 'gamma': 0.17267730226951788, 'min_child_weight': 6, 'reg_alpha': 0.02821734016120364, 'reg_lambda': 0.26460569753854774}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:07:48,011] Trial 42 finished with value: 12.54098995510583 and parameters: {'max_bin': 883, 'max_depth': 14, 'learning_rate': 0.020828741381636314, 'subsample': 0.8149538844412321, 'colsample_bytree': 0.8199859043542992, 'gamma': 0.13543736082008626, 'min_child_weight': 6, 'reg_alpha': 0.012595336424317677, 'reg_lambda': 0.14773372849131677}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:11:40,988] Trial 43 finished with value: 12.518229509852231 and parameters: {'max_bin': 923, 'max_depth': 15, 'learning_rate': 0.016614202456340384, 'subsample': 0.8484174620563418, 'colsample_bytree': 0.8533928584521407, 'gamma': 0.09684745092515036, 'min_child_weight': 5, 'reg_alpha': 0.017964580926188647, 'reg_lambda': 0.5317595924959175}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:13:01,621] Trial 44 finished with value: 12.790234056527662 and parameters: {'max_bin': 743, 'max_depth': 9, 'learning_rate': 0.006949462937346768, 'subsample': 0.7933433085982012, 'colsample_bytree': 0.8805998703200666, 'gamma': 0.14751625927910264, 'min_child_weight': 7, 'reg_alpha': 0.03170966763617931, 'reg_lambda': 0.7954453355471659}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:17:44,041] Trial 45 finished with value: 12.507098696633845 and parameters: {'max_bin': 1037, 'max_depth': 14, 'learning_rate': 0.012357159336709337, 'subsample': 0.7726910996314214, 'colsample_bytree': 0.9093788461002725, 'gamma': 0.09014094600394756, 'min_child_weight': 5, 'reg_alpha': 0.022763799806728786, 'reg_lambda': 0.4721244065507148}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:22:31,423] Trial 46 finished with value: 12.507983530020045 and parameters: {'max_bin': 1132, 'max_depth': 14, 'learning_rate': 0.012359173857672536, 'subsample': 0.7479051206217997, 'colsample_bytree': 0.9127216533099424, 'gamma': 0.22730771367209185, 'min_child_weight': 4, 'reg_alpha': 0.16044239065750288, 'reg_lambda': 0.5036152639027056}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:26:10,126] Trial 47 finished with value: 12.547340032583463 and parameters: {'max_bin': 1021, 'max_depth': 13, 'learning_rate': 0.010825699025617868, 'subsample': 0.7730059125232396, 'colsample_bytree': 0.9382070448717793, 'gamma': 0.03305463224868327, 'min_child_weight': 6, 'reg_alpha': 0.06863205980218401, 'reg_lambda': 0.30236075219892516}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:29:11,569] Trial 48 finished with value: 12.559130226123514 and parameters: {'max_bin': 1218, 'max_depth': 12, 'learning_rate': 0.014385630434467117, 'subsample': 0.7518975177071303, 'colsample_bytree': 0.9626127671860712, 'gamma': 0.18733688247430125, 'min_child_weight': 3, 'reg_alpha': 0.29840292892999, 'reg_lambda': 0.22527225546196256}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:31:47,797] Trial 49 finished with value: 12.543678132923672 and parameters: {'max_bin': 949, 'max_depth': 14, 'learning_rate': 0.019625678917955323, 'subsample': 0.7668911797794359, 'colsample_bytree': 0.9271037071639278, 'gamma': 0.3145880140203839, 'min_child_weight': 8, 'reg_alpha': 0.024370666150344382, 'reg_lambda': 0.7240498331154834}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:33:29,544] Trial 50 finished with value: 12.57443165989552 and parameters: {'max_bin': 1087, 'max_depth': 13, 'learning_rate': 0.030129263813380994, 'subsample': 0.7376893222899293, 'colsample_bytree': 0.8992579244175471, 'gamma': 0.2675576379065082, 'min_child_weight': 4, 'reg_alpha': 0.09197789320345506, 'reg_lambda': 0.17127885583925326}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:38:39,257] Trial 51 finished with value: 12.502712224279977 and parameters: {'max_bin': 1311, 'max_depth': 14, 'learning_rate': 0.011983009236304652, 'subsample': 0.7517365190028166, 'colsample_bytree': 0.9113229841854408, 'gamma': 0.23257109931263353, 'min_child_weight': 4, 'reg_alpha': 0.15335418630311587, 'reg_lambda': 0.5010225275809439}. Best is trial 32 with value: 12.497877109782726.
[I 2025-04-19 01:45:48,198] Trial 52 finished with value: 12.494020998156167 and parameters: {'max_bin': 786, 'max_depth': 15, 'learning_rate': 0.008889676661578444, 'subsample': 0.7117993733322986, 'colsample_bytree': 0.9045938553776811, 'gamma': 0.25514143787407917, 'min_child_weight': 4, 'reg_alpha': 0.21988854983071415, 'reg_lambda': 0.5102093854698404}. Best is trial 52 with value: 12.494020998156167.
